week,retailer,sales_kkg,price_kg,organic
44,grocery,11.169,1.9,Yes
45,express,2.767,1.6,No
45,express,1.908,2.8,Yes
45,grocery,13.136,1.5,No
45,grocery,10.834,1.9,Yes
46,express,2.857,1.6,No
46,express,1.927,2.8,Yes
46,grocery,13.015,1.5,No
46,grocery,12.134,1.9,Yes
47,express,2.726,1.7,No
47,express,2.544,2.8,Yes
47,grocery,12.66,1.6,No
47,grocery,12.173,1.9,Yes
48,express,2.801,1.7,No
48,express,1.749,2.8,Yes
48,grocery,11.863,1.7,No
48,grocery,12.432,1.9,Yes
49,express,2.719,1.7,No
49,express,1.95,2.8,Yes
49,grocery,12.266,1.7,No
49,grocery,13.786,1.9,Yes
50,express,2.708,1.7,No
50,express,1.454,2.8,Yes
50,grocery,11.85,1.7,No
50,grocery,11.263,1.9,Yes
51,express,2.639,1.7,No
51,express,1.628,2.8,Yes
51,grocery,11.703,1.7,No
51,grocery,11.503,1.9,Yes
52,express,2.073,1.6,No
52,express,1.271,2.8,Yes
52,grocery,9.801,1.6,No
52,grocery,8.765,1.9,Yes
