Model,Hardware Design,Performance,Software,Memory Capacity,Ecosystem,Price,Camera,Battery Life,Service,Warranty,Accessories,Color variety
iPhone,6.30,5.90,6.62,5.44,6.78,5.30,6.30,4.08,6.00,4.20,6.50,6.60
iPhone Pro,6.69,6.62,6.61,5.96,6.80,6.50,6.45,6.00,6.23,4.22,6.31,4.50
Samsung Galaxy S,5.88,6.15,5.88,5.50,5.22,5.90,6.33,5.88,5.62,3.99,6.01,4.30
Samsung Galaxy A,4.42,4.46,4.54,4.92,4.92,4.65,5.90,4.31,4.38,4.08,4.96,3.11
Motorola,3.65,3.96,4.38,4.08,3.42,3.99,3.92,4.58,3.99,4.27,4.00,3.42
Google Pixel Pro,5.00,5.35,5.90,4.92,5.60,5.62,6.23,4.00,5.12,4.77,5.08,3.65
Google Pixel,4.54,4.58,5.80,4.96,5.67,4.35,5.55,3.90,4.54,4.69,4.42,4.38
OnePlus,4.11,5.44,3.99,4.92,4.22,5.01,3.90,4.42,4.00,3.99,3.77,4.02
