"ID","price","bedrooms","bathrooms","lot_size","year_built","postal_code","borough"
437,569000,4,2,531,1989,"H9J3N6","Pierrefonds-Roxboro"
438,335000,5,2,452,1989,"H1A4E9","Rivière-des-Prairies–Pointe-aux-Trembles"
439,284900,3,1,145,1958,"H1G4P3","Montréal-Nord"
440,479000,4,1,395,1951,"H2A1C9","Villeray–Saint-Michel–Parc-Extension"
441,334000,3,1,439,1974,"H1B1Y9","Rivière-des-Prairies–Pointe-aux-Trembles"
442,399000,2,1,216,1949,"H8P2H7","LaSalle"
443,768000,4,2,269,1983,"H3E1K6","Verdun"
444,579000,4,1,447,1948,"H8T2A6","Lachine"
445,499000,3,2,422,1985,"H1E5S5","Rivière-des-Prairies–Pointe-aux-Trembles"
446,799000,3,1,437,1925,"H2C2W2","Ahuntsic-Cartierville"
447,849000,4,3,455,1977,"H1E3A8","Rivière-des-Prairies–Pointe-aux-Trembles"
448,849900,5,2,1003,1995,"H9E1R9","L'Île-Bizard–Sainte-Geneviève"
449,629000,4,2,174,1952,"H3L3H3","Ahuntsic-Cartierville"
450,549000,4,1,335,1955,"H3L3G1","Ahuntsic-Cartierville"
451,589000,3,1,321,1949,"H3L2V2","Ahuntsic-Cartierville"
452,484500,3,1,416,1986,"H1K4Y8","Anjou"
453,399000,2,1,382,1910,"H8S3A2","Lachine"
454,329000,3,1,505,1959,"H1B2L1","Rivière-des-Prairies–Pointe-aux-Trembles"
455,375000,2,1,929,1951,"H8Y1B3","Pierrefonds-Roxboro"
456,359000,2,1,348,1932,"H8S2Y3","Lachine"
457,1199900,4,3,1862,1974,"H9K1E6","Pierrefonds-Roxboro"
458,475000,5,1,613,1964,"H9H2B9","Pierrefonds-Roxboro"
459,595000,3,2,395,1953,"H4V2E5","Côte-des-Neiges–Notre-Dame-de-Grâce"
460,535000,3,1,213,2001,"H1J2Y8","Anjou"
461,329000,3,1,235,1963,"H1G5T8","Montréal-Nord"
462,299000,4,1,845,1964,"H9J1W4","Pierrefonds-Roxboro"
463,850000,3,2,1895,1995,"H9C2W2","L'Île-Bizard–Sainte-Geneviève"
464,695000,2,2,590,1950,"H4K1V8","Ahuntsic-Cartierville"
465,289000,4,2,567,1951,"H9E1E5","L'Île-Bizard–Sainte-Geneviève"
466,519900,3,2,609,1984,"H9C2K7","L'Île-Bizard–Sainte-Geneviève"
467,535000,3,2,222,1997,"H1K5G2","Mercier–Hochelaga-Maisonneuve"
468,764468.775,3,1,204,1975,"H8N2S5","LaSalle"
469,715259.475,3,1,1951,1958,"H8Z2T7","Pierrefonds-Roxboro"
470,649000,3,1,472,1944,"H4L3E4","Saint-Laurent"
